from,to,average,threshold,collusion
Switzerland,Norway,2.1,4.9,FALSE
Switzerland,Portugal,1.5,4.9,FALSE
Switzerland,Spain,3.8,5.1,FALSE
Switzerland,Sweden,4.8,5,FALSE
Switzerland,Netherlands,4.75,4.9,FALSE
Switzerland,Turkey,2.6,5,FALSE
Switzerland,United Kingdom,5.5,5,TRUE
Switzerland,Yugoslavia,0.7777777777777778,5,FALSE
Netherlands,Austria,0.625,5.125,FALSE
Netherlands,Belgium,3.75,5.125,FALSE
Netherlands,Cyprus,1.4285714285714286,5.125,FALSE
Netherlands,Denmark,4.625,5.125,FALSE
Netherlands,Finland,1.875,5,FALSE
Netherlands,France,4.875,5.256249999999994,FALSE
Netherlands,Germany,3.125,5.375,FALSE
Netherlands,Greece,2.5,5.25,FALSE
Netherlands,Israel,4,5.125,FALSE
Netherlands,Italy,2.857142857142857,5.25,FALSE
Netherlands,Luxembourg,1.75,5.131249999999994,FALSE
Netherlands,Norway,2.875,5.125,FALSE
Netherlands,Portugal,1.5,5.125,FALSE
Netherlands,Spain,0.625,5.125,FALSE
Netherlands,Sweden,3.75,5.375,FALSE
Netherlands,Switzerland,4.875,5.25,FALSE
Netherlands,Turkey,1.375,5.25,FALSE
Netherlands,United Kingdom,2.875,5.25,FALSE
Netherlands,Yugoslavia,2.75,5.375,FALSE
Turkey,Austria,2,5,FALSE
Turkey,Belgium,3.2,4.804999999999995,FALSE
Turkey,Cyprus,0,5,FALSE
Turkey,Denmark,1.2,5,FALSE
Turkey,Finland,2.3,5.1,FALSE
Turkey,France,1.6,5,FALSE
Turkey,Germany,0.7,5,FALSE
Turkey,Greece,1.375,4.7,FALSE
Turkey,Israel,1.5555555555555556,5,FALSE
Turkey,Italy,6,5,TRUE
Turkey,Luxembourg,1.5,5,FALSE
Turkey,Norway,1.2,4.9,FALSE
Turkey,Portugal,1.5,4.9,FALSE
Turkey,Spain,5.8,5,TRUE
Turkey,Sweden,2.2,5,FALSE
Turkey,Switzerland,4.7,4.9,FALSE
Turkey,Netherlands,4,5,FALSE
Turkey,United Kingdom,4.8,5,FALSE
Turkey,Yugoslavia,8,5.1,TRUE
United Kingdom,Austria,3.1,4.9,FALSE
United Kingdom,Belgium,2.4,5,FALSE
United Kingdom,Cyprus,1.3333333333333333,5,FALSE
United Kingdom,Denmark,4,5,FALSE
United Kingdom,Finland,1.3,5,FALSE
United Kingdom,France,1.4,5.0049999999999955,FALSE
United Kingdom,Germany,5.1,4.8,TRUE
United Kingdom,Greece,1.25,5,FALSE
United Kingdom,Israel,4.666666666666667,5,FALSE
United Kingdom,Italy,0.1111111111111111,4.9,FALSE
United Kingdom,Luxembourg,2.3,4.9,FALSE
United Kingdom,Norway,3.4,4.9,FALSE
United Kingdom,Portugal,0.6,5.3,FALSE
United Kingdom,Spain,1.9,5.1,FALSE
United Kingdom,Sweden,4.8,5,FALSE
United Kingdom,Switzerland,4.5,4.9,FALSE
United Kingdom,Netherlands,2.5,5.1,FALSE
United Kingdom,Turkey,2.1,4.8,FALSE
United Kingdom,Yugoslavia,5.222222222222222,5.0049999999999955,TRUE
Yugoslavia,Austria,1.8888888888888888,5.00555555555555,FALSE
